"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 15 12:04:31 MSK 2019","Thu Aug 15 12:04:32 MSK 2019","376","","","","","","Отчет.ОтчетПоВидамОплат.Форма","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:04:45 MSK 2019","Thu Aug 15 12:04:45 MSK 2019","495","","","","","","Отчет.СтатистикаКассовойЛинейки.Форма","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:00:20 MSK 2019","Thu Aug 15 12:00:20 MSK 2019","218","","","","","","Списки : Справочник.ЕГАИС_Справки2.Форма.ФормаСписка","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:03:09 MSK 2019","Thu Aug 15 12:03:09 MSK 2019","266","","","","","","Списки : Документ.ПланПроизводства.Форма.ФормаВыбора","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:09:23 MSK 2019","Thu Aug 15 12:09:23 MSK 2019","4","","","","","","Константа.ВалютаУправленческогоУчета: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:06:32 MSK 2019","Thu Aug 15 12:06:32 MSK 2019","4","","","","","","Справочник.ПредопределенныеВариантыОтчетов: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:07:11 MSK 2019","Thu Aug 15 12:07:11 MSK 2019","4","","","","","","Константа.МесяцевДоЗапретаПроведенияВременногоРФР: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"broken","Thu Aug 15 12:06:19 MSK 2019","Thu Aug 15 12:06:19 MSK 2019","11","","","","","","РегистрСведений.ВерсииПодсистемОбластейДанных: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:11:07 MSK 2019","Thu Aug 15 12:11:07 MSK 2019","3","","","","","","РегистрСведений.ЗагруженныеВерсииАдресныхСведений: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:01:59 MSK 2019","Thu Aug 15 12:02:00 MSK 2019","282","","","","","","Новые : Справочник.СоставыКомплекта.Форма.ФормаЭлемента","ТестДолжен_ОткрытьФормуНовогоЭлементаСправочника"
"passed","Thu Aug 15 12:02:04 MSK 2019","Thu Aug 15 12:02:04 MSK 2019","188","","","","","","Существующие : Справочник.СхемыРасчетаРетроБонусов.Форма.ФормаЭлемента","ТестДолжен_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu Aug 15 12:05:39 MSK 2019","Thu Aug 15 12:05:39 MSK 2019","3","","","","","","РегистрНакопления.ДвиженияДенежныхСредств: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:02:59 MSK 2019","Thu Aug 15 12:03:00 MSK 2019","250","","","","","","Списки : Документ.ПеремещениеНаличныхДенежныхСредств.Форма.ФормаСписка","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:08:22 MSK 2019","Thu Aug 15 12:08:22 MSK 2019","4","","","","","","Константа.ПечататьШтрихкодыКартинкойВСпискеТоваровТСД: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:09:13 MSK 2019","Thu Aug 15 12:09:13 MSK 2019","4","","","","","","РегистрСведений.КурсыВалют: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:00:20 MSK 2019","Thu Aug 15 12:00:20 MSK 2019","125","","","","","","Существующие : Справочник.ЕГАИС_Справки2.Форма.ФормаЭлемента","ТестДолжен_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu Aug 15 12:02:46 MSK 2019","Thu Aug 15 12:02:46 MSK 2019","219","","","","","","Списки : Документ.Меркурий_ВСДГрупповойДокумент.Форма.ФормаСписка","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:00:57 MSK 2019","Thu Aug 15 12:00:57 MSK 2019","172","","","","","","Списки : Справочник.МОТП_ПараметрыВхода.Форма.ФормаСписка","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:01:48 MSK 2019","Thu Aug 15 12:01:48 MSK 2019","219","","","","","","Списки : Справочник.ПрофилиГруппДоступа.Форма.ФормаВыбораГруппы","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
